id,"tanggal (WIB)","waktu (WIB)",lintang,bujur,"tingkat kepercayaan",satelit,"radius kemungkinan",kecamatan,kabupaten,provinsi,tipe
3210593,2021-04-02,13:48:00,0.9747603535652161,101.88531494140625,8,aqua,3000,Siak,Siak,Riau,Cluster
3288261,2021-01-24,10:15:54,0.3320383333333333,103.377499,7,landsat8,111,Mandah,"Indragiri Hilir",Riau,Cluster
3251405,2021-04-04,13:34:00,-0.08403976261615753,101.6715087890625,8,aqua,3000,Langgam,Pelalawan,Riau,Cluster
3288285,2021-02-09,10:15:54,0.128191,103.330541,7,landsat8,90,Mandah,"Indragiri Hilir",Riau,Cluster
3288286,2021-02-25,10:15:54,-0.745512,102.943969,7,landsat8,90,Keritang,"Indragiri Hilir",Riau,Cluster
3288288,2021-02-25,10:15:54,-0.606465,103.2246755,8,landsat8,102,Reteh,"Indragiri Hilir",Riau,Cluster
3288315,2021-03-13,10:15:54,0.592614,103.179542,7,landsat8,90,"Kuala Kampar",Pelalawan,Riau,Cluster
3288115,2021-01-22,10:27:45,1.276664,101.305268,9,landsat8,90,Mandau,Bengkalis,Riau,Cluster
3288116,2021-01-22,10:27:45,0.49899150000000003,101.3422315,9,landsat8,120,Tapung,Kampar,Riau,Cluster
3288316,2021-03-13,10:15:54,0.083697,103.319225,9,landsat8,90,Enok,"Indragiri Hilir",Riau,Cluster
3288776,2021-03-18,10:35:05,1.854251,100.308902,7,landsat8,90,"Bagan Sinembah","Rokan Hilir",Riau,Cluster
3288317,2021-03-13,10:15:54,0.347146,103.407321,9,landsat8,90,Mandah,"Indragiri Hilir",Riau,Cluster
3288777,2021-03-18,10:35:05,1.280341,100.334157,7,landsat8,90,Tembusan,"Rokan Hulu",Riau,Cluster
3289629,2021-02-06,01:17:12,1.53624368,101.54859924,8,noaa20,1125,"Bukit Batu",Bengkalis,Riau,Cluster
3288835,2021-01-31,10:21:22,0.300182,103.231891,7,landsat8,90,Mandah,"Indragiri Hilir",Riau,Cluster
3288840,2021-03-20,10:21:22,0.877685,103.0887425,9,landsat8,102,"Tebing Tinggi","Kepulauan Meranti",Riau,Cluster
3288676,2021-02-14,10:35:05,2.194334,100.502832,9,landsat8,90,"Bagan Sinembah","Rokan Hilir",Riau,Cluster
3288726,2021-03-02,10:35:05,2.48009925,100.316859,8,landsat8,120,"Bagan Sinembah","Rokan Hilir",Riau,Cluster
3288727,2021-03-02,10:35:05,2.277222,100.368322,9,landsat8,90,"Bagan Sinembah","Rokan Hilir",Riau,Cluster
3289289,2021-01-20,01:37:18,0.53535789,101.60266113,8,noaa20,1125,"Siak Sri Indrapura",Siak,Riau,Cluster
3289290,2021-01-20,01:37:18,-0.48830479,102.47636414,8,noaa20,1125,Rengat,"Indragiri Hulu",Riau,Cluster
3289631,2021-02-06,01:17:12,0.5373553,103.32872008999999,8,noaa20,1280,"Kuala Kampar",Pelalawan,Riau,Cluster
3289348,2021-01-22,00:56:38,-0.45550671,102.16966248,8,noaa20,1125,"Pasir Penyu","Indragiri Hulu",Riau,Cluster
3289655,2021-02-07,00:56:51,1.5358969,101.542613985,8,noaa20,1280,"Bukit Batu",Bengkalis,Riau,Cluster
3289493,2021-01-24,12:56:58,1.100396575,102.86000824,8,noaa20,1280,"Rangsang Barat","Kepulauan Meranti",Riau,Cluster
3289656,2021-02-07,00:56:51,0.68717331,101.61936951,8,noaa20,1125,"Siak Sri Indrapura",Siak,Riau,Cluster
3289657,2021-02-07,00:56:51,-0.052246805,103.066799165,8,noaa20,1280,Gaunganakserka,"Indragiri Hilir",Riau,Cluster
3289532,2021-01-29,13:03:21,0.51334363,103.33232117,8,noaa20,1125,"Kuala Kampar",Pelalawan,Riau,Cluster
3289408,2021-01-22,13:36:14,-0.05167374,100.79619598,8,noaa20,1125,"Kampar Kiri Hulu",Kampar,Riau,Cluster
3289658,2021-02-07,00:56:51,-0.07927786,103.23362732,8,noaa20,1125,Gaunganakserka,"Indragiri Hilir",Riau,Cluster
3289534,2021-01-29,13:03:21,1.32889259,102.22891998,8,noaa20,1125,Merbau,"Kepulauan Meranti",Riau,Cluster
3289690,2021-02-07,13:36:29,-0.07898548,103.23314667,8,noaa20,1125,Gaunganakserka,"Indragiri Hilir",Riau,Cluster
3289554,2021-01-31,01:31:10,1.69851255,101.39971924,8,noaa20,1125,"Dumai Timur",Dumai,Riau,Cluster
3289555,2021-01-31,01:31:10,1.68226421,100.80726624,8,noaa20,1125,Bangko,"Rokan Hilir",Riau,Cluster
